sec,ml
-5,0
-4,0
-3,0
-2,0
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0.14
11,0.9
12,0.92
13,0.94
14,0.95
15,0.97
16,1.02
17,1.16
18,1.56
19,1.71
20,2.38
21,2.73
22,3.23
23,3.49
24,3.82
25,4.68
26,4.69
27,5.53
28,5.57
29,5.68
30,6.41
31,6.54
32,6.73
33,6.96
34,7.39
35,8.22
36,8.58
37,8.96
38,9.37
39,9.89
40,10.23
41,10.77
42,10.89
43,11.02
44,11.07
45,11.88
46,12.29
47,12.69
48,13.11
49,13.54
50,13.94
51,14.26
52,14.53
53,14.79
54,15.05
55,15.7
56,16.34
57,16.41
58,16.48
59,16.64
60,16.81
61,17.18
62,17.2
63,17.34
64,17.38
65,17.33
66,17.28
67,17.12
68,12.99
69,4.25
70,3.4
71,2.93
72,2.9
73,2.87
74,2.34
75,2.25
76,2.25
77,1.94
78,1.67
79,1.26
80,1.04
81,0.99
82,0.95
83,0.86
84,0.86
85,0.86
86,0.94
87,1.02
88,1.02
89,1.02
90,1.02
91,1
92,0.98
93,0.95
94,0.91
95,0.82
96,0.72
97,0.72
98,0.66
99,0.6
100,0.59
101,0.58
102,0.48
103,0.44
104,0.42
105,0.41
106,0.4
107,0.38
108,0.29
109,0.27
110,0.25
111,0.23
112,0.22
113,0.17
114,0.16
115,0.15
116,0
117,0
118,0
119,0
