sec,ml
-2,0
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0.14
14,0.9
15,0.92
16,0.94
17,0.95
18,0.97
19,1.02
20,1.16
21,1.56
22,1.71
23,2.38
24,2.73
25,3.23
26,3.49
27,3.82
28,4.68
29,4.69
30,5.53
31,5.57
32,5.68
33,6.41
34,6.54
35,6.73
36,6.96
37,7.39
38,8.22
39,8.58
40,8.96
41,9.37
42,9.89
43,10.23
44,10.77
45,10.89
46,11.02
47,11.07
48,11.88
49,12.29
50,12.69
51,13.11
52,13.54
53,13.94
54,14.26
55,14.53
56,14.79
57,15.05
58,15.7
59,16.34
60,16.41
61,16.48
62,16.64
63,16.81
64,17.18
65,17.2
66,17.34
67,17.38
68,17.33
69,17.28
70,17.12
71,12.99
72,4.25
73,3.4
74,2.93
75,2.9
76,2.87
77,2.34
78,2.25
79,2.25
80,1.94
81,1.67
82,1.26
83,1.04
84,0.99
85,0.95
86,0.86
87,0.86
88,0.86
89,0.94
90,1.02
91,1.02
92,1.02
93,1.02
94,1
95,0.98
96,0.95
97,0.91
98,0.82
99,0.72
100,0.72
101,0.66
102,0.6
103,0.59
104,0.58
105,0.48
106,0.44
107,0.42
108,0.41
109,0.4
110,0.38
111,0.29
112,0.27
113,0.25
114,0.23
115,0.22
116,0.17
117,0.16
118,0.15
119,0
