sec,ml
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0.14
15,0.9
16,0.92
17,0.94
18,0.95
19,0.97
20,1.02
21,1.16
22,1.56
23,1.71
24,2.38
25,2.73
26,3.23
27,3.49
28,3.82
29,4.68
30,4.69
31,5.53
32,5.57
33,5.68
34,6.41
35,6.54
36,6.73
37,6.96
38,7.39
39,8.22
40,8.58
41,8.96
42,9.37
43,9.89
44,10.23
45,10.77
46,10.89
47,11.02
48,11.07
49,11.88
50,12.29
51,12.69
52,13.11
53,13.54
54,13.94
55,14.26
56,14.53
57,14.79
58,15.05
59,15.7
60,16.34
61,16.41
62,16.48
63,16.64
64,16.81
65,17.18
66,17.2
67,17.34
68,17.38
69,17.33
70,17.28
71,17.12
72,12.99
73,4.25
74,3.4
75,2.93
76,2.9
77,2.87
78,2.34
79,2.25
80,2.25
81,1.94
82,1.67
83,1.26
84,1.04
85,0.99
86,0.95
87,0.86
88,0.86
89,0.86
90,0.94
91,1.02
92,1.02
93,1.02
94,1.02
95,1
96,0.98
97,0.95
98,0.91
99,0.82
100,0.72
101,0.72
102,0.66
103,0.6
104,0.59
105,0.58
106,0.48
107,0.44
108,0.42
109,0.41
110,0.4
111,0.38
112,0.29
113,0.27
114,0.25
115,0.23
116,0.22
117,0.17
118,0.16
119,0.15
