sec,ml
-3,0
-2,0
-1,0
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0.14
13,0.9
14,0.92
15,0.94
16,0.95
17,0.97
18,1.02
19,1.16
20,1.56
21,1.71
22,2.38
23,2.73
24,3.23
25,3.49
26,3.82
27,4.68
28,4.69
29,5.53
30,5.57
31,5.68
32,6.41
33,6.54
34,6.73
35,6.96
36,7.39
37,8.22
38,8.58
39,8.96
40,9.37
41,9.89
42,10.23
43,10.77
44,10.89
45,11.02
46,11.07
47,11.88
48,12.29
49,12.69
50,13.11
51,13.54
52,13.94
53,14.26
54,14.53
55,14.79
56,15.05
57,15.7
58,16.34
59,16.41
60,16.48
61,16.64
62,16.81
63,17.18
64,17.2
65,17.34
66,17.38
67,17.33
68,17.28
69,17.12
70,12.99
71,4.25
72,3.4
73,2.93
74,2.9
75,2.87
76,2.34
77,2.25
78,2.25
79,1.94
80,1.67
81,1.26
82,1.04
83,0.99
84,0.95
85,0.86
86,0.86
87,0.86
88,0.94
89,1.02
90,1.02
91,1.02
92,1.02
93,1
94,0.98
95,0.95
96,0.91
97,0.82
98,0.72
99,0.72
100,0.66
101,0.6
102,0.59
103,0.58
104,0.48
105,0.44
106,0.42
107,0.41
108,0.4
109,0.38
110,0.29
111,0.27
112,0.25
113,0.23
114,0.22
115,0.17
116,0.16
117,0.15
118,0
119,0
